CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,CUISINE DESCRIPTION,SCORE,GRADE,GRADE DATE
40363644,DOMINO'S,MANHATTAN,464,3 AVENUE,10016.0,Pizza,4.0,A,2017-03-30
40363945,DOMINO'S,MANHATTAN,148,WEST   72 STREET,10023.0,Pizza,12.0,A,2017-03-02
40364920,RIZZO'S FINE PIZZA,QUEENS,3013,STEINWAY STREET,11103.0,Pizza,12.0,A,2016-11-03
40365280,COMO PIZZA,MANHATTAN,4035,BROADWAY,10032.0,Pizza,10.0,A,2016-08-29
40365632,J&V FAMOUS PIZZA,BROOKLYN,6322,18 AVENUE,11204.0,Pizza,2.0,A,2017-04-05
40365882,NEW YORK PIZZA SUPREMA,MANHATTAN,413,8 AVENUE,10001.0,Pizza,12.0,A,2016-05-26
40366002,MARGHERITA PIZZA,QUEENS,16304,JAMAICA AVENUE,11432.0,Pizza,12.0,A,2017-03-10
40367789,DANI PIZZA AND RESTAURANT,QUEENS,8128,LEFFERTS BOULEVARD,11415.0,Pizza,9.0,A,2016-12-08
40369262,JOHN'S PIZZERIA,QUEENS,8502,GRAND AVENUE,11373.0,Pizza,3.0,A,2016-07-13
40369482,ARMANDO'S PIZZA,BROOKLYN,1366,PENNSYLVANIA AVENUE,11239.0,Pizza,13.0,A,2017-03-17
40372631,YANKEE JZ PIZZA,BRONX,1599,WESTCHESTER AVENUE,10472.0,Pizza,12.0,A,2016-12-20
40375286,LA VILLA DE PIZZA & RESTAURANT,QUEENS,8207,153 AVENUE,11414.0,Pizza,5.0,A,2017-03-01
40375899,NERON'S PIZZA,QUEENS,21532,HILLSIDE AVENUE,11427.0,Pizza,2.0,A,2017-03-09
40378970,CAESAR'S PALACE,MANHATTAN,493,AMSTERDAM AVENUE,10024.0,Pizza,10.0,A,2016-03-30
40380422,CARLOS PIZZA,QUEENS,7402,METROPOLITAN AVENUE,11379.0,Pizza,5.0,A,2017-03-01
40380996,SMILING PIZZA,BROOKLYN,323,7 AVENUE,11215.0,Pizza,4.0,A,2017-03-27
40382652,TOMMY'S PIZZA,BRONX,4033,EAST TREMONT AVENUE,10465.0,Pizza,12.0,A,2016-04-06
40383044,PIZZA WAGON,BROOKLYN,8606,5 AVENUE,11209.0,Pizza,10.0,A,2017-04-12
40383281,GABY'S PIZZA,QUEENS,20423,HILLSIDE AVENUE,11423.0,Pizza,8.0,A,2017-03-24
40383496,THE GROTTO,MANHATTAN,69,NEW STREET,10004.0,Pizza,8.0,A,2016-11-18
40383945,PIZZA D'ORO,STATEN ISLAND,3115,VICTORY BOULEVARD,10314.0,Pizza,11.0,A,2016-07-19
40384458,DREAM PIZZA,QUEENS,3767,JUNCTION BOULEVARD,11368.0,Pizza,5.0,A,2017-02-06
40384662,J & R PIZZA,BROOKLYN,1916,KINGS HIGHWAY,11229.0,Pizza,13.0,A,2016-09-07
40385584,PIZZA GARDEN,QUEENS,17101,NORTHERN BOULEVARD,11358.0,Pizza,13.0,A,2016-04-14
40385873,RAY'S PIZZA,MANHATTAN,829-831,7 AVENUE,10019.0,Pizza,4.0,A,2016-07-27
40386278,VENICE PIZZA,BRONX,1539,UNIONPORT ROAD,10462.0,Pizza,12.0,A,2016-09-07
40386303,PIZZA PLUS,BROOKLYN,359,SEVENTH AVENUE,11215.0,Pizza,13.0,A,2016-05-13
40386569,SAL AND CARMINE PIZZA,MANHATTAN,2671,BROADWAY,10025.0,Pizza,9.0,A,2016-12-15
40386722,SANREMO PIZZA,QUEENS,5601,MYRTLE AVENUE,11385.0,Pizza,7.0,A,2017-03-07
40387399,ARTURO'S PIZZA,BRONX,5189A,BROADWAY,10463.0,Pizza,7.0,A,2016-09-21
40388235,LUCKY PIZZA,QUEENS,2714,BRIDGE PLAZA SOUTH,11101.0,Pizza,9.0,A,2016-03-07
40388253,THE PIZZA PLACE,BRONX,1665,METROPOLITAN AVENUE,10462.0,Pizza,3.0,A,2016-04-05
40388419,FAMOUS FAMIGLIA PIZZERIA,MANHATTAN,2859,BROADWAY,10025.0,Pizza,10.0,A,2017-03-02
40388639,GLENDALE PIZZA,QUEENS,6827,MYRTLE AVENUE,11385.0,Pizza,5.0,A,2016-02-23
40389114,SACCO PIZZA,MANHATTAN,819,9 AVENUE,10019.0,Pizza,9.0,A,2017-01-30
