CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41652560,$1 PIZZA $2 BEER,MANHATTAN,95,MACDOUGAL STREET,10012.0,2122555090,Pizza,05/04/2015,Violations were cited in the following area(s).,02B,19.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41257734,PAPA JOHN'S,QUEENS,16525,LIBERTY AVENUE,11433.0,7182985333,Pizza,04/04/2017,Establishment re-closed by DOHMH,08A,12.0,,,04/22/2017,Cycle Inspection / Reopening Inspection
40933080,LUIGI'S PIZZA,QUEENS,10402,ATLANTIC AVENUE,11416.0,7184414434,Pizza,12/20/2016,Violations were cited in the following area(s).,06D,5.0,A,12/20/2016,04/22/2017,Cycle Inspection / Re-inspection
41656246,NEW MARIOS PIZZERIA,BROOKLYN,373,WAVERLY AVENUE,11238.0,7187836565,Pizza,03/06/2017,Violations were cited in the following area(s).,10F,14.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41353218,CASSIANO'S PIZZA,MANHATTAN,930,3 AVENUE,10022.0,2127552390,Pizza,10/06/2015,Violations were cited in the following area(s).,04M,12.0,A,10/06/2015,04/22/2017,Cycle Inspection / Re-inspection
50050795,I LOVE NY PIZZA,BRONX,2086,ARTHUR AVE,10457.0,3475771844,Pizza,08/09/2016,Violations were cited in the following area(s).,06F,13.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
40866322,DOMINO'S,BRONX,41,EAST  167 STREET,10452.0,7182932170,Pizza,06/10/2014,Violations were cited in the following area(s).,06B,7.0,A,06/10/2014,04/22/2017,Cycle Inspection / Initial Inspection
41636558,JOE'S PIZZA,MANHATTAN,211,8 AVENUE,10011.0,2122433226,Pizza,11/09/2015,Violations were cited in the following area(s).,10F,11.0,A,11/09/2015,04/22/2017,Cycle Inspection / Re-inspection
41381773,DOMINO'S,BROOKLYN,328,MYRTLE AVENUE,11205.0,7185223733,Pizza,03/27/2015,Violations were cited in the following area(s).,10F,27.0,B,03/27/2015,04/22/2017,Cycle Inspection / Re-inspection
50037168,MISTER PIZZA,BRONX,155,E 149TH ST,10451.0,6463712210,Pizza,07/13/2015,Violations were cited in the following area(s).,10B,14.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
41238165,PIZZA CLASSICA,QUEENS,8989,UNION TURNPIKE,11385.0,7188475001,Pizza,11/05/2015,Violations were cited in the following area(s).,04L,19.0,B,11/05/2015,04/22/2017,Cycle Inspection / Re-inspection
41643622,PEPPINOS PIZZA,BRONX,4701,WHITE PLAINS ROAD,10470.0,7189947543,Pizza,11/10/2015,Violations were cited in the following area(s).,04L,9.0,A,11/10/2015,04/22/2017,Cycle Inspection / Re-inspection
50046165,BELLA PIZZA,BROOKLYN,1712,PITKIN AVE,11212.0,3474421339,Pizza,08/03/2016,Violations were cited in the following area(s).,06E,12.0,A,08/03/2016,04/22/2017,Cycle Inspection / Re-inspection
50010346,DOMINO'S,STATEN ISLAND,25,VICTORY BLVD,10301.0,7182734848,Pizza,09/17/2014,Violations were cited in the following area(s).,20F,,,,04/22/2017,Administrative Miscellaneous / Initial Inspection
40745681,JUNIOR'S CAFE,QUEENS,4618,VERNON BOULEVARD,11101.0,7184729694,Pizza,07/31/2014,Violations were cited in the following area(s).,08A,13.0,A,07/31/2014,04/22/2017,Cycle Inspection / Re-inspection
50004569,PIZZA HUT,BROOKLYN,11114,FLATLANDS AVE,11207.0,7182571454,Pizza,06/25/2014,No violations were recorded at the time of this inspection.,,0.0,A,06/25/2014,04/22/2017,Pre-permit (Operational) / Re-inspection
41236336,PIZZA & PITA,MANHATTAN,344,EAST   34 STREET,10016.0,2126796161,Pizza,07/02/2014,Violations were cited in the following area(s).,02H,21.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41497254,D NAPOLI PIZZA,MANHATTAN,906,3 AVENUE,10022.0,2122073848,Pizza,05/13/2016,Violations were cited in the following area(s).,08A,13.0,A,05/13/2016,04/22/2017,Cycle Inspection / Re-inspection
50017257,PICK & PAY GYRO & PIZZA,MANHATTAN,30,LEXINGTON AVE,10010.0,2123878200,Pizza,03/08/2016,Violations were cited in the following area(s).,22C,,,,04/22/2017,Administrative Miscellaneous / Compliance Inspection
40394329,FRANK'S PIZZA RESTAURANT,BROOKLYN,2134,FLATBUSH AVENUE,11234.0,7183778100,Pizza,10/17/2013,Violations were cited in the following area(s).,10B,21.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41337793,LUIGI PIZZA,MANHATTAN,304,8 AVENUE,10001.0,2122422259,Pizza,02/13/2017,Violations were cited in the following area(s).,02G,7.0,A,02/13/2017,04/22/2017,Cycle Inspection / Initial Inspection
41273072,ACE PIZZA,QUEENS,6104,MYRTLE AVENUE,11385.0,7184180038,Pizza,03/19/2014,Violations were cited in the following area(s).,02B,16.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41366056,THE 3 LUIGIS,BROOKLYN,275,GRAND AVENUE,11238.0,7186220059,Pizza,06/22/2015,Violations were cited in the following area(s).,04M,40.0,,,04/22/2017,Cycle Inspection / Initial Inspection
40973604,THE PIZZA PLACE,BRONX,4024,WHITE PLAINS ROAD,10466.0,7185159467,Pizza,04/27/2016,Violations were cited in the following area(s).,16B,,,,04/22/2017,Trans Fat / Initial Inspection
41204340,TINY'S PIZZA & PASTA,BRONX,1113,GRANT AVENUE,10456.0,7182938346,Pizza,05/11/2013,Establishment re-closed by DOHMH,08A,24.0,,,04/22/2017,Cycle Inspection / Reopening Inspection
41291067,"PAPA JOHN'S, SUBWAY",MANHATTAN,594,AMSTERDAM AVENUE,10024.0,2127241200,Pizza,02/16/2016,Violations were cited in the following area(s).,08A,12.0,,,04/22/2017,Cycle Inspection / Initial Inspection
50019253,JO JO PIZZA & BURGERS,BRONX,231B,E 149TH ST,10451.0,7182920601,Pizza,09/22/2015,Violations were cited in the following area(s).,05F,29.0,,,04/22/2017,Cycle Inspection / Initial Inspection
50059425,BETO'S MEXICAN FOOD PIZZA & BURGERS,BRONX,301,E 181ST ST,10457.0,9178012406,Pizza,03/13/2017,Violations were cited in the following area(s).,04K,14.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
50016351,ROSA'S PIZZA,MANHATTAN,2,W 14TH ST,10011.0,2128989898,Pizza,12/12/2014,Violations were cited in the following area(s).,02G,37.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
41204340,TINY'S PIZZA & PASTA,BRONX,1113,GRANT AVENUE,10456.0,7182938346,Pizza,11/19/2014,Violations were cited in the following area(s).,02G,19.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41245794,EVILOLIVE PIZZA BAR,BROOKLYN,198,UNION AVENUE,11211.0,7183870707,Pizza,02/06/2017,Violations were cited in the following area(s).,05D,10.0,A,02/06/2017,04/22/2017,Cycle Inspection / Re-inspection
50035385,PAPA JOHN'S,MANHATTAN,343,GRAND ST,10002.0,2129797272,Pizza,04/22/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10F,90.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
41246487,KINGSTON PIZZA,BROOKLYN,259,KINGSTON AVENUE,11213.0,7187747665,Pizza,01/05/2017,Violations were cited in the following area(s).,04L,20.0,,,04/22/2017,Cycle Inspection / Initial Inspection
50000187,GRANDMA PIZZA,MANHATTAN,2551,AMSTERDAM AVENUE,10033.0,2129274895,Pizza,04/25/2014,Violations were cited in the following area(s).,08A,39.0,,,04/22/2017,Cycle Inspection / Initial Inspection
41711029,MY FAMILY PIZZA,STATEN ISLAND,340,VICTORY BOULEVARD,10301.0,7187204500,Pizza,02/01/2016,Violations were cited in the following area(s).,06D,36.0,C,02/01/2016,04/22/2017,Cycle Inspection / Re-inspection
41541114,PINO'S PIZZA,STATEN ISLAND,275,PORT RICHMOND AVENUE,10302.0,7188765100,Pizza,11/08/2014,Violations were cited in the following area(s).,16B,,,,04/22/2017,Trans Fat / Re-inspection
50000937,MIKE DADDY'S PIZZA,BROOKLYN,449,7TH AVENUE,11215.0,7187689700,Pizza,07/18/2013,Violations were cited in the following area(s).,15L,,,,04/22/2017,Smoke-Free Air Act / Initial Inspection
40878675,TACO BELL PIZZA HUT EXPRESS,MANHATTAN,173,EAST  116 STREET,10029.0,2122897297,Pizza,03/04/2014,Violations were cited in the following area(s).,22C,,,,04/22/2017,Administrative Miscellaneous / Initial Inspection
41543650,ST. ALBANS PIZZERIA,QUEENS,20527,HOLLIS AVENUE,11412.0,7184795300,Pizza,01/14/2016,Violations were cited in the following area(s).,22C,,,,04/22/2017,Administrative Miscellaneous / Initial Inspection
50015206,POPPY'S PIZZA,STATEN ISLAND,55,GUNTON PL,10309.0,9178290083,Pizza,01/07/2015,Violations were cited in the following area(s).,10F,5.0,A,01/07/2015,04/22/2017,Cycle Inspection / Re-inspection
50002970,PAPA JOHN'S,BROOKLYN,8,SUTTER AVE,11212.0,7188047272,Pizza,11/27/2013,Violations were cited in the following area(s).,10F,9.0,A,11/27/2013,04/22/2017,Pre-permit (Operational) / Re-inspection
41175577,MARIO'S PIZZERIA,BROOKLYN,222,HOYT STREET,11217.0,7186243371,Pizza,10/15/2015,Violations were cited in the following area(s).,04A,33.0,,,04/22/2017,Cycle Inspection / Initial Inspection
40893866,DOMINO'S,MANHATTAN,227,WEST   40 STREET,10018.0,2129440400,Pizza,09/08/2016,Violations were cited in the following area(s).,04N,22.0,,,04/22/2017,Cycle Inspection / Initial Inspection
50058878,DOMINO'S,BROOKLYN,1544,BROADWAY,11221.0,3476577577,Pizza,02/13/2017,Violations were cited in the following area(s).,06C,29.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
50046649,LITTLE CAESARS PIZZA,BROOKLYN,1431,FULTON ST,11216.0,3473508888,Pizza,03/29/2016,Violations were cited in the following area(s).,04A,50.0,,,04/22/2017,Pre-permit (Operational) / Initial Inspection
41434866,BELLA VITA,MANHATTAN,158,WEST   58 STREET,10019.0,2126647670,Pizza,07/08/2014,Violations were cited in the following area(s).,04N,30.0,C,07/08/2014,04/22/2017,Cycle Inspection / Re-inspection
41706076,LITTLE CAESARS,BROOKLYN,1482,FLATBUSH AVENUE,11210.0,7184841800,Pizza,04/12/2016,Violations were cited in the following area(s).,04A,10.0,,,04/22/2017,Cycle Inspection / Initial Inspection
